kernel,solution,accuracy,precision,sensitivity,specificity,f1Score,aucpr
Linear,,0.596694214876033,0.5,0.00819672131147541,0.994459833795014,0.0161290322580645,0.451965068649433
RBF,,0.596694214876033,0.5,0.00819672131147541,0.994459833795014,0.0161290322580645,0.432321037013237
Dirac,,0.6,0.75,0.0122950819672131,0.997229916897507,0.0241935483870968,0.445266716758583
k1,,0.598347107438017,0.571428571428571,0.0163934426229508,0.991689750692521,0.0318725099601594,0.444508822980428
m3,,0.598347107438017,0.571428571428571,0.0163934426229508,0.991689750692521,0.0318725099601594,0.444418655310707
Aitchison-Aitken,,0.548760330578512,0.419889502762431,0.311475409836066,0.709141274238227,0.357647058823529,0.304666741350253
Li-Racin,,0.538842975206612,0.403314917127072,0.299180327868852,0.700831024930748,0.343529411764706,0.287307352242853
