accuracy,precision,sensitivity,specificity,f1Score,aucpr
0.795,0.413793103448276,0.06,0.97875,0.104803493449782,0.298606698825682
0.8,NaN,0,1,0,0
0.674,0.29,0.435,0.73375,0.348,0.293216553691751
0.678,0.296666666666667,0.445,0.73625,0.356,0.289295042812028
