name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
kMRCD,0.582,0.282,0.705,0.55125,0.402857142857143,0.334214886818356
kMRCD,0.558,0.258,0.645,0.53625,0.368571428571429,0.286672119493403
kMRCD,0.544,0.244,0.61,0.5275,0.348571428571429,0.253779200325024
kMRCD,0.54,0.24,0.6,0.525,0.342857142857143,0.262467988837771
kMRCD,0.79,0.361111111111111,0.065,0.97125,0.110169491525424,0.300306613047468
kMRCD,0.56,0.26,0.65,0.5375,0.371428571428571,0.296356064858871
kMRCD,0.588,0.288,0.72,0.555,0.411428571428571,0.340208067284014
kMRCD,0.783,0.345454545454545,0.095,0.955,0.149019607843137,0.288444887884926
kMRCD,0.558,0.258,0.645,0.53625,0.368571428571429,0.30295830609861
kMRCD,0.598,0.254854368932039,0.525,0.61625,0.343137254901961,0.265205041465467
kMRCD,0.598,0.258373205741627,0.54,0.6125,0.349514563106796,0.255533678403483
kMRCD,0.568,0.268,0.67,0.5425,0.382857142857143,0.308693175931648
kMRCD,0.564,0.264,0.66,0.54,0.377142857142857,0.306491190033022
kMRCD,0.566,0.266,0.665,0.54125,0.38,0.263168562712656
kMRCD,0.558,0.257028112449799,0.64,0.5375,0.36676217765043,0.282223065214754
kMRCD,0.536,0.236,0.59,0.5225,0.337142857142857,0.25530509493212
kMRCD,0.631,0.288220551378446,0.575,0.645,0.383973288814691,0.294939746669626
kMRCD,0.578,0.278,0.695,0.54875,0.397142857142857,0.305032794657781
kMRCD,0.534,0.234,0.585,0.52125,0.334285714285714,0.283962275766811
kMRCD,0.554,0.254,0.635,0.53375,0.362857142857143,0.299743195659183
kMRCD,0.538,0.238,0.595,0.52375,0.34,0.274033846684854
kMRCD,0.745,0.32484076433121,0.255,0.8675,0.285714285714286,0.276774494178932
kMRCD,0.552,0.252,0.63,0.5325,0.36,0.239279586421533
kMRCD,0.566,0.266,0.665,0.54125,0.38,0.313443956049632
kMRCD,0.558,0.258,0.645,0.53625,0.368571428571429,0.333839872279875
kMRCD,0.562,0.262,0.655,0.53875,0.374285714285714,0.291215779491938
kMRCD,0.773,0.380530973451327,0.215,0.9125,0.274760383386581,0.331943330945223
kMRCD,0.584,0.274058577405858,0.655,0.56625,0.386430678466077,0.319275086078762
kMRCD,0.586,0.286,0.715,0.55375,0.408571428571429,0.317529803938325
kMRCD,0.769,0.317647058823529,0.135,0.9275,0.189473684210526,0.265810820107299
kMRCD,0.576,0.276,0.69,0.5475,0.394285714285714,0.314516803854998
kMRCD,0.576,0.276,0.69,0.5475,0.394285714285714,0.30512039314987
kMRCD,0.56,0.26,0.65,0.5375,0.371428571428571,0.308378714865464
kMRCD,0.562,0.262,0.655,0.53875,0.374285714285714,0.318458312546205
kMRCD,0.56,0.26,0.65,0.5375,0.371428571428571,0.306624453231251
kMRCD,0.566,0.266,0.665,0.54125,0.38,0.307370416586654
kMRCD,0.554,0.254,0.635,0.53375,0.362857142857143,0.277090131085606
kMRCD,0.544,0.244,0.61,0.5275,0.348571428571429,0.281579548539763
kMRCD,0.53,0.23,0.575,0.51875,0.328571428571429,0.254934272559988
kMRCD,0.586,0.267391304347826,0.615,0.57875,0.372727272727273,0.309106344388778
kMRCD,0.566,0.266,0.665,0.54125,0.38,0.279126337071583
kMRCD,0.649,0.300791556728232,0.57,0.66875,0.393782383419689,0.29561928875979
kMRCD,0.56,0.26,0.65,0.5375,0.371428571428571,0.325320163846493
kMRCD,0.548,0.248,0.62,0.53,0.354285714285714,0.259633945357283
kMRCD,0.558,0.258,0.645,0.53625,0.368571428571429,0.30529360389137
kMRCD,0.558,0.258,0.645,0.53625,0.368571428571429,0.304763254897328
kMRCD,0.534,0.234,0.585,0.52125,0.334285714285714,0.246116244220209
kMRCD,0.564,0.264,0.66,0.54,0.377142857142857,0.272602366172011
kMRCD,0.54,0.24,0.6,0.525,0.342857142857143,0.27163073228129
kMRCD,0.556,0.256,0.64,0.535,0.365714285714286,0.292448018435452
kMRCD,0.548,0.248,0.62,0.53,0.354285714285714,0.269282437576242
kMRCD,0.562,0.262,0.655,0.53875,0.374285714285714,0.338609501531416
kMRCD,0.582,0.282,0.705,0.55125,0.402857142857143,0.387509172163555
kMRCD,0.566,0.266,0.665,0.54125,0.38,0.304060647424305
kMRCD,0.572,0.272,0.68,0.545,0.388571428571429,0.322498985966504
kMRCD,0.564,0.264,0.66,0.54,0.377142857142857,0.3062458069357
