name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
kMRCD,0.676,0.293333333333333,0.44,0.735,0.352,0.290161150653643
kMRCD,0.668,0.28,0.42,0.73,0.336,0.270183271831349
kMRCD,0.678,0.296666666666667,0.445,0.73625,0.356,0.300804334812685
kMRCD,0.656,0.26,0.39,0.7225,0.312,0.256632230214901
kMRCD,0.66,0.266666666666667,0.4,0.725,0.32,0.280227572800319
kMRCD,0.666,0.276666666666667,0.415,0.72875,0.332,0.276648691373702
kMRCD,0.668,0.28,0.42,0.73,0.336,0.307821946621574
kMRCD,0.67,0.283333333333333,0.425,0.73125,0.34,0.282461436976014
kMRCD,0.654,0.256666666666667,0.385,0.72125,0.308,0.268431108560234
kMRCD,0.66,0.266666666666667,0.4,0.725,0.32,0.280478038590404
kMRCD,0.65,0.25,0.375,0.71875,0.3,0.25602145815319
kMRCD,0.634,0.223333333333333,0.335,0.70875,0.268,0.242220357894708
kMRCD,0.658,0.263333333333333,0.395,0.72375,0.316,0.257345129387505
kMRCD,0.674,0.284246575342466,0.415,0.73875,0.33739837398374,0.28849332640886
kMRCD,0.684,0.306666666666667,0.46,0.74,0.368,0.299605632789648
kMRCD,0.664,0.255395683453237,0.355,0.74125,0.297071129707113,0.250878747400496
kMRCD,0.68,0.3,0.45,0.7375,0.36,0.303546608224146
kMRCD,0.664,0.273333333333333,0.41,0.7275,0.328,0.324405840868818
kMRCD,0.666,0.276666666666667,0.415,0.72875,0.332,0.2830139533187
kMRCD,0.664,0.273333333333333,0.41,0.7275,0.328,0.274450970090238
kMRCD,0.662,0.27,0.405,0.72625,0.324,0.281106145210993
kMRCD,0.68,0.3,0.45,0.7375,0.36,0.326227469035886
kMRCD,0.68,0.3,0.45,0.7375,0.36,0.313364618191694
kMRCD,0.668,0.28,0.42,0.73,0.336,0.314790396473849
kMRCD,0.66,0.266666666666667,0.4,0.725,0.32,0.274208209933455
kMRCD,0.656,0.26,0.39,0.7225,0.312,0.291035447646752
kMRCD,0.67,0.283333333333333,0.425,0.73125,0.34,0.29463980318905
kMRCD,0.697,0.319298245614035,0.455,0.7575,0.375257731958763,0.296805413925586
kMRCD,0.697,0.319298245614035,0.455,0.7575,0.375257731958763,0.313261336325729
kMRCD,0.679,0.297658862876254,0.445,0.7375,0.356713426853707,0.296299017160838
kMRCD,0.666,0.276666666666667,0.415,0.72875,0.332,0.306751941449588
kMRCD,0.676,0.293333333333333,0.44,0.735,0.352,0.352107297692192
kMRCD,0.666,0.276666666666667,0.415,0.72875,0.332,0.262735711442341
kMRCD,0.674,0.29,0.435,0.73375,0.348,0.291883943173147
kMRCD,0.662,0.27,0.405,0.72625,0.324,0.257663570976915
kMRCD,0.672,0.286666666666667,0.43,0.7325,0.344,0.297739664826997
kMRCD,0.658,0.263333333333333,0.395,0.72375,0.316,0.272347323413709
kMRCD,0.665,0.274247491638796,0.41,0.72875,0.328657314629259,0.293767761988548
kMRCD,0.664,0.273333333333333,0.41,0.7275,0.328,0.302482991478587
kMRCD,0.664,0.257142857142857,0.36,0.74,0.3,0.257429075831064
kMRCD,0.658,0.263333333333333,0.395,0.72375,0.316,0.278327070261752
