accuracy,precision,sensitivity,specificity,f1Score,aucpr
0.787,0.19047619047619,0.02,0.97875,0.0361990950226244,0.2265168654772
0.502,0.00333333333333333,0.005,0.62625,0.004,0.109736972835445
0.658,0.263333333333333,0.395,0.72375,0.316,0.247872846577926
0.602,0.17,0.255,0.68875,0.204,0.189028420900476
0.638,0.23,0.345,0.71125,0.276,0.225430432918312
