accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.8,NaN,0,1,0,0.299249999211321,kMRCD,1
0.388,0.088,0.22,0.43,0.125714285714286,0.129839904926,lof,1
0.471,0.170340681362725,0.425,0.4825,0.243204577968526,0.161155547268738,iforest,1
0.811,0.566265060240964,0.235,0.955,0.332155477031802,0.530096237480085,kMRCD,2
0.392,0.092,0.23,0.4325,0.131428571428571,0.148300192813751,lof,2
0.431,0.130260521042084,0.325,0.4575,0.185979971387697,0.143821686118486,iforest,2
0.8,NaN,0,1,0,0.133739106377464,kMRCD,3
0.384,0.084,0.21,0.4275,0.12,0.139891261140098,lof,3
0.528,0.225806451612903,0.56,0.52,0.32183908045977,0.19537463422549,iforest,3
0.8,NaN,0,1,0,0.143271370061202,kMRCD,4
0.398,0.098,0.245,0.43625,0.14,0.160326793061773,lof,4
0.492,0.189516129032258,0.47,0.4975,0.270114942528736,0.180327587045416,iforest,4
0.8,NaN,0,1,0,0.663372742346227,kMRCD,5
0.384,0.084,0.21,0.4275,0.12,0.135992668473167,lof,5
0.479,0.177062374245473,0.44,0.48875,0.252510760401722,0.163385551745072,iforest,5
0.8,NaN,0,1,0,0.143415931366409,kMRCD,6
0.388,0.088,0.22,0.43,0.125714285714286,0.133799708209283,lof,6
0.419,0.115151515151515,0.285,0.4525,0.164028776978417,0.139817943204509,iforest,6
0.8,NaN,0,1,0,0.148887911809366,kMRCD,7
0.384,0.084,0.21,0.4275,0.12,0.138521167485831,lof,7
0.456,0.150406504065041,0.37,0.4775,0.213872832369942,0.156684911602894,iforest,7
0.778,0.15625,0.025,0.96625,0.0431034482758621,0.342415840218077,kMRCD,8
0.4,0.1,0.25,0.4375,0.142857142857143,0.135232416858211,lof,8
0.478,0.178,0.445,0.48625,0.254285714285714,0.166488300534818,iforest,8
0.8,NaN,0,1,0,0.370074194583632,kMRCD,9
0.392,0.092,0.23,0.4325,0.131428571428571,0.13120128106907,lof,9
0.512,0.209677419354839,0.52,0.51,0.298850574712644,0.190542441142413,iforest,9
0.8,NaN,0,1,0,0.324588861131575,kMRCD,10
0.378,0.078,0.195,0.42375,0.111428571428571,0.127804834117644,lof,10
0.481,0.180360721442886,0.45,0.48875,0.257510729613734,0.168185457447777,iforest,10
0.8,NaN,0,1,0,0.293564493777527,kMRCD,11
0.354,0.054,0.135,0.40875,0.0771428571428571,0.127460867926388,lof,11
0.419,0.116700201207243,0.29,0.45125,0.166427546628407,0.135871665840031,iforest,11
