accuracy,precision,sensitivity,specificity,f1Score,aucpr
0.929,0.938628158844765,0.975,0.745,0.956468424279583,0.825417390292439
0.53,0.735714285714286,0.64375,0.075,0.686666666666667,0.114407159143327
0.586,0.774147727272727,0.68125,0.205,0.724734042553192,0.168547860011579
0.55,0.75,0.65625,0.125,0.7,0.142320565577714
0.624,0.802857142857143,0.7025,0.31,0.749333333333333,0.222365916336945
