accuracy,precision,sensitivity,specificity,f1Score,aucpr
0.8,NaN,0,1,0,0.114983795261812
0.512,0.02,0.03,0.6325,0.024,0.120426747731919
0.535,0.0538720538720539,0.08,0.64875,0.0643863179074447,0.140544839433043
0.538,0.0633333333333333,0.095,0.64875,0.076,0.135606680030315
0.568,0.113333333333333,0.17,0.6675,0.136,0.174324617206315
