accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.894,0.485436893203884,1,0.882222222222222,0.65359477124183,0.821922010301239,kMRCD,1
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0590180423699457,lof,1
0.692,0.084,0.21,0.745555555555556,0.12,0.104661096048604,iforest,1
0.776,0.223214285714286,0.5,0.806666666666667,0.308641975308642,0.144019186954757,kMRCD,2
0.658,0.016,0.04,0.726666666666667,0.0228571428571429,0.0581790056092336,lof,2
0.682,0.064,0.16,0.74,0.0914285714285714,0.0962387550523879,iforest,2
0.773,0.2152466367713,0.48,0.805555555555556,0.297213622291022,0.128881371303761,kMRCD,3
0.654,0.008,0.02,0.724444444444444,0.0114285714285714,0.054966196597584,lof,3
0.693,0.0775510204081633,0.19,0.748888888888889,0.110144927536232,0.10134454838347,iforest,3
0.773,0.141242937853107,0.25,0.831111111111111,0.180505415162455,0.0927092857021304,kMRCD,4
0.664,0.028,0.07,0.73,0.04,0.0605882501554039,lof,4
0.7,0.0934959349593496,0.23,0.752222222222222,0.132947976878613,0.117205934622386,iforest,4
0.809,0.286384976525822,0.61,0.831111111111111,0.389776357827476,0.17336051878531,kMRCD,5
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0597144919997089,lof,5
0.701,0.100401606425703,0.25,0.751111111111111,0.143266475644699,0.117121417451798,iforest,5
0.804,0.304878048780488,0.75,0.81,0.433526011560694,0.232920902471715,kMRCD,6
0.664,0.028,0.07,0.73,0.04,0.0631734389339698,lof,6
0.671,0.0401606425702811,0.1,0.734444444444444,0.0573065902578797,0.0849264483082208,iforest,6
0.89,0.475961538461538,0.99,0.878888888888889,0.642857142857143,0.777573019042474,kMRCD,7
0.666,0.032,0.08,0.731111111111111,0.0457142857142857,0.0697638238616024,lof,7
0.733,0.161943319838057,0.4,0.77,0.230547550432277,0.148483980043625,iforest,7
0.79,0.210526315789474,0.4,0.833333333333333,0.275862068965517,0.110035616675066,kMRCD,8
0.656,0.012,0.03,0.725555555555556,0.0171428571428571,0.0552596922087482,lof,8
0.689,0.0763052208835341,0.19,0.744444444444444,0.108882521489971,0.0993525326804522,iforest,8
0.829,0.0266666666666667,0.02,0.918888888888889,0.0228571428571429,0.0597621297170704,kMRCD,9
0.662,0.024,0.06,0.728888888888889,0.0342857142857143,0.0705593004194965,lof,9
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0818371171533322,iforest,9
0.802,0.262135922330097,0.54,0.831111111111111,0.352941176470588,0.132538184146404,kMRCD,10
0.654,0.008,0.02,0.724444444444444,0.0114285714285714,0.0558975688405244,lof,10
0.758,0.216,0.54,0.782222222222222,0.308571428571429,0.19683459598865,iforest,10
0.815,0.326530612244898,0.8,0.816666666666667,0.463768115942029,0.261156450356929,kMRCD,11
0.668,0.036,0.09,0.732222222222222,0.0514285714285714,0.0624668850269568,lof,11
0.697,0.0890688259109312,0.22,0.75,0.126801152737752,0.104198016081452,iforest,11
0.782,0.205,0.41,0.823333333333333,0.273333333333333,0.113877325803553,kMRCD,12
0.664,0.028,0.07,0.73,0.04,0.0675187634536742,lof,12
0.729,0.153846153846154,0.38,0.767777777777778,0.219020172910663,0.160289351022435,iforest,12
0.873,0.439461883408072,0.98,0.861111111111111,0.606811145510836,0.487376121273636,kMRCD,13
0.664,0.028,0.07,0.73,0.04,0.0604058542705659,lof,13
0.713,0.124497991967871,0.31,0.757777777777778,0.177650429799427,0.125428618129458,iforest,13
0.895,0.487562189054726,0.98,0.885555555555556,0.651162790697674,0.501542459149444,kMRCD,14
0.658,0.016,0.04,0.726666666666667,0.0228571428571429,0.0575163988059964,lof,14
0.729,0.156626506024096,0.39,0.766666666666667,0.223495702005731,0.153717305835,iforest,14
0.769,0.138121546961326,0.25,0.826666666666667,0.177935943060498,0.0894316986124137,kMRCD,15
0.67,0.04,0.1,0.733333333333333,0.0571428571428571,0.0612388794415985,lof,15
0.762,0.219512195121951,0.54,0.786666666666667,0.312138728323699,0.184230703417485,iforest,15
0.892,0.480769230769231,1,0.88,0.649350649350649,0.913476592988881,kMRCD,16
0.664,0.028,0.07,0.73,0.04,0.0631439879421086,lof,16
0.746,0.192,0.48,0.775555555555556,0.274285714285714,0.17549468405937,iforest,16
0.781,0.251046025104602,0.6,0.801111111111111,0.353982300884956,0.131941838982906,kMRCD,17
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0607276804803527,lof,17
0.709,0.116465863453815,0.29,0.755555555555556,0.166189111747851,0.119232364253342,iforest,17
0.875,0.444444444444444,1,0.861111111111111,0.615384615384615,0.802245591446768,kMRCD,18
0.668,0.036,0.09,0.732222222222222,0.0514285714285714,0.059201607075589,lof,18
0.721,0.140562248995984,0.35,0.762222222222222,0.200573065902579,0.137236886116955,iforest,18
0.878,0.44954128440367,0.98,0.866666666666667,0.616352201257862,0.568651163097614,kMRCD,19
0.652,0.004,0.01,0.723333333333333,0.00571428571428571,0.0584310568774645,lof,19
0.676,0.052,0.13,0.736666666666667,0.0742857142857143,0.092144742321695,iforest,19
0.873,0.439461883408072,0.98,0.861111111111111,0.606811145510836,0.662014207228672,kMRCD,20
0.668,0.036,0.09,0.732222222222222,0.0514285714285714,0.0594509396479379,lof,20
0.718,0.136,0.34,0.76,0.194285714285714,0.132675134232595,iforest,20
0.772,0.226495726495726,0.53,0.798888888888889,0.317365269461078,0.132343592871025,kMRCD,21
0.664,0.028,0.07,0.73,0.04,0.0616517218877642,lof,21
0.708,0.116,0.29,0.754444444444444,0.165714285714286,0.13153625685992,iforest,21
0.874,0.440366972477064,0.96,0.864444444444444,0.60377358490566,0.4182334158467,kMRCD,22
0.656,0.012,0.03,0.725555555555556,0.0171428571428571,0.057423423771107,lof,22
0.692,0.0806451612903226,0.2,0.746666666666667,0.114942528735632,0.107163722464669,iforest,22
0.886,0.467289719626168,1,0.873333333333333,0.636942675159236,0.905036936249333,kMRCD,23
0.666,0.032,0.08,0.731111111111111,0.0457142857142857,0.0610436448149577,lof,23
0.747,0.192771084337349,0.48,0.776666666666667,0.275071633237822,0.172628541306474,iforest,23
0.871,0.434389140271493,0.96,0.861111111111111,0.598130841121495,0.467193867450499,kMRCD,24
0.668,0.036,0.09,0.732222222222222,0.0514285714285714,0.0741599289732629,lof,24
0.71,0.116935483870968,0.29,0.756666666666667,0.166666666666667,0.124262030281768,iforest,24
0.688,0.0267857142857143,0.06,0.757777777777778,0.037037037037037,0.0669447832308355,kMRCD,25
0.656,0.012,0.03,0.725555555555556,0.0171428571428571,0.0574247247749975,lof,25
0.704,0.108,0.27,0.752222222222222,0.154285714285714,0.121817615372375,iforest,25
0.729,0.10958904109589,0.24,0.783333333333333,0.150470219435737,0.0988162071660111,kMRCD,26
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0571621610657299,lof,26
0.702,0.0975609756097561,0.24,0.753333333333333,0.138728323699422,0.112260798997488,iforest,26
0.875,0.443438914027149,0.98,0.863333333333333,0.610591900311526,0.55314330663782,kMRCD,27
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0561733058723324,lof,27
0.711,0.120481927710843,0.3,0.756666666666667,0.171919770773639,0.127727280007799,iforest,27
0.795,0.285714285714286,0.7,0.805555555555556,0.405797101449275,0.154439056164129,kMRCD,28
0.664,0.028,0.07,0.73,0.04,0.059495744648863,lof,28
