accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.753,0.305785123966942,0.185,0.895,0.230529595015576,0.408942626428408,kMRCD,1
0.588,0.076,0.095,0.71125,0.0844444444444444,0.137730100648573,lof,1
0.586,0.0614754098360656,0.075,0.71375,0.0675675675675676,0.142025533620228,iforest,1
0.788,0,0,0.985,0,0.111358006197069,kMRCD,2
0.566,0.032,0.04,0.6975,0.0355555555555556,0.11609709097113,lof,2
0.568,0.032258064516129,0.04,0.7,0.0357142857142857,0.138353333780457,iforest,2
0.663,0.112994350282486,0.1,0.80375,0.106100795755968,0.186838777202568,kMRCD,3
0.59,0.08,0.1,0.7125,0.0888888888888889,0.125075143687373,lof,3
0.598,0.0826446280991736,0.1,0.7225,0.0904977375565611,0.155606356938644,iforest,3
0.639,0.0954773869346734,0.095,0.775,0.0952380952380952,0.154869497193576,kMRCD,4
0.596,0.092,0.115,0.71625,0.102222222222222,0.13956406897258,lof,4
0.574,0.0443548387096774,0.055,0.70375,0.0491071428571429,0.135006766927744,iforest,4
0.722,0.0125,0.005,0.90125,0.00714285714285714,0.112861297388422,kMRCD,5
0.59,0.08,0.1,0.7125,0.0888888888888889,0.125258202482832,lof,5
0.574,0.048,0.06,0.7025,0.0533333333333333,0.143236162950076,iforest,5
0.939,0.798283261802575,0.93,0.94125,0.859122401847575,0.778883438295881,kMRCD,6
0.568,0.036,0.045,0.69875,0.04,0.114791981522785,lof,6
0.575,0.0445344129554656,0.055,0.705,0.0492170022371365,0.14211553992609,iforest,6
0.799,0,0,0.99875,0,0.110881649298784,kMRCD,7
0.596,0.092,0.115,0.71625,0.102222222222222,0.138898730730388,lof,7
0.571,0.0364372469635627,0.045,0.7025,0.0402684563758389,0.132403738809157,iforest,7
0.861,0.640552995391705,0.695,0.9025,0.666666666666667,0.430199768965903,kMRCD,8
0.594,0.088,0.11,0.715,0.0977777777777778,0.138981490126901,lof,8
0.596,0.0853658536585366,0.105,0.71875,0.0941704035874439,0.151859713932452,iforest,8
0.774,0,0,0.9675,0,0.112843032261901,kMRCD,9
0.59,0.08,0.1,0.7125,0.0888888888888889,0.137563142672789,lof,9
0.581,0.0566801619433198,0.07,0.70875,0.0626398210290828,0.151003659036213,iforest,9
0.758,0,0,0.9475,0,0.118475351786935,kMRCD,10
0.586,0.072,0.09,0.71,0.08,0.128636745497235,lof,10
0.576,0.052,0.065,0.70375,0.0577777777777778,0.142088708386454,iforest,10
0.948,0.813559322033898,0.96,0.945,0.880733944954128,0.863508270049624,kMRCD,11
0.57,0.04,0.05,0.7,0.0444444444444444,0.124529033208065,lof,11
0.578,0.0524193548387097,0.065,0.70625,0.0580357142857143,0.15695385887508,iforest,11
0.811,0.535483870967742,0.415,0.91,0.467605633802817,0.43908124857409,kMRCD,12
0.578,0.056,0.07,0.705,0.0622222222222222,0.126999209959519,lof,12
0.587,0.072289156626506,0.09,0.71125,0.0801781737193764,0.146674127618277,iforest,12
0.625,0.0731707317073171,0.075,0.7625,0.0740740740740741,0.1372426282372,kMRCD,13
0.594,0.088,0.11,0.715,0.0977777777777778,0.143062117941031,lof,13
0.584,0.0609756097560976,0.075,0.71125,0.0672645739910314,0.148547340919786,iforest,13
0.608,0.0428571428571429,0.045,0.74875,0.0439024390243902,0.122693779726944,kMRCD,14
0.594,0.088,0.11,0.715,0.0977777777777778,0.135726761493084,lof,14
0.586,0.072,0.09,0.71,0.08,0.149437087478559,iforest,14
0.617,0.0447761194029851,0.045,0.76,0.0448877805486284,0.137536203518874,kMRCD,15
0.588,0.076,0.095,0.71125,0.0844444444444444,0.132475980542632,lof,15
0.615,0.1285140562249,0.16,0.72875,0.142538975501114,0.176300854903534,iforest,15
