accuracy,precision,sensitivity,specificity,f1Score,aucpr
0.8,NaN,0,1,0,0.11722293138858
0.522,0.0366666666666667,0.055,0.63875,0.044,0.11452130526295
0.502,0.00333333333333333,0.005,0.62625,0.004,0.122627700508488
