kernel,accuracy,precision,sensitivity,specificity,f1Score,aucpr,iteration
Ordered Aitchison-Aitken,0.436,0.136,0.34,0.46,0.194285714285714,0.114176295257504,9
Ordered Li-Racin,0.476,0.176,0.44,0.485,0.251428571428571,0.110703379602772,9
Linear,0.822,1,0.11,1,0.198198198198198,0.961136101905421,10
RBF,0.8,NaN,0,1,0,0.458033354093746,10
Dirac,0.8,NaN,0,1,0,0.379769409174286,10
k1,0.8,NaN,0,1,0,0.357058690358236,10
m3,0.804,0.583333333333333,0.07,0.9875,0.125,0.375275870228542,10
Aitchison-Aitken,0.8,NaN,0,1,0,0.0936632815288828,10
Li-Racin,0.5,0.2,0.5,0.5,0.285714285714286,0.10256416177637,10
Wang-Ryzin,0.8,NaN,0,1,0,0.109346323585098,10
Ordered Aitchison-Aitken,0.496,0.196,0.49,0.4975,0.28,0.109308376677697,10
Ordered Li-Racin,0.5,0.2,0.5,0.5,0.285714285714286,0.106256391540143,10
Linear,0.802,1,0.01,1,0.0198019801980198,0.297257594647853,11
RBF,0.8,NaN,0,1,0,0.335269035801417,11
Dirac,0.798,0.333333333333333,0.01,0.995,0.0194174757281553,0.281404773125253,11
k1,0.798,0.4,0.02,0.9925,0.0380952380952381,0.277028325317258,11
m3,0.798,0.444444444444444,0.04,0.9875,0.073394495412844,0.272934529625693,11
Aitchison-Aitken,0.8,NaN,0,1,0,0.0941734886735146,11
Li-Racin,0.52,0.22,0.55,0.5125,0.314285714285714,0.0918761106058987,11
Wang-Ryzin,0.8,NaN,0,1,0,0.0902960169709155,11
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.102714099422917,11
Ordered Li-Racin,0.504,0.204,0.51,0.5025,0.291428571428571,0.103795646974266,11
Linear,0.8,NaN,0,1,0,0.254535278435344,12
RBF,0.8,NaN,0,1,0,0.251198227343125,12
Dirac,0.8,NaN,0,1,0,0.21903101852162,12
k1,0.8,NaN,0,1,0,0.218855067808155,12
m3,0.78,0.0833333333333333,0.01,0.9725,0.0178571428571429,0.229841264752372,12
Aitchison-Aitken,0.5,0.2,0.5,0.5,0.285714285714286,0.100724429774674,12
Li-Racin,0.52,0.22,0.55,0.5125,0.314285714285714,0.0922234614604332,12
Wang-Ryzin,0.8,NaN,0,1,0,0.0962747062621291,12
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.0919072464251934,12
Ordered Li-Racin,0.512,0.212,0.53,0.5075,0.302857142857143,0.101244243616797,12
Linear,0.8,NaN,0,1,0,0.592192576725291,13
RBF,0.8,NaN,0,1,0,0.340918592879432,13
Dirac,0.8,NaN,0,1,0,0.321377084212925,13
k1,0.8,NaN,0,1,0,0.332779729624523,13
m3,0.8,NaN,0,1,0,0.332605025508056,13
Aitchison-Aitken,0.8,NaN,0,1,0,0.0999337967101703,13
Li-Racin,0.492,0.192,0.48,0.495,0.274285714285714,0.102764043228298,13
Wang-Ryzin,0.8,NaN,0,1,0,0.100476986764801,13
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.100496551327111,13
Ordered Li-Racin,0.516,0.216,0.54,0.51,0.308571428571429,0.102519995924753,13
Linear,0.802,1,0.01,1,0.0198019801980198,0.342651761042135,14
RBF,0.8,NaN,0,1,0,0.360736062973836,14
Dirac,0.8,NaN,0,1,0,0.299059312696993,14
k1,0.8,NaN,0,1,0,0.296608885193534,14
m3,0.798,0.461538461538462,0.06,0.9825,0.106194690265487,0.308788092384683,14
Aitchison-Aitken,0.512,0.212,0.53,0.5075,0.302857142857143,0.0949779421179817,14
Li-Racin,0.512,0.212,0.53,0.5075,0.302857142857143,0.0932276002909905,14
Wang-Ryzin,0.8,NaN,0,1,0,0.0992545604620034,14
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.0925544824344813,14
Ordered Li-Racin,0.496,0.196,0.49,0.4975,0.28,0.107523777076779,14
Linear,0.8,NaN,0,1,0,0.300797930545843,15
RBF,0.8,NaN,0,1,0,0.296581902571589,15
Dirac,0.798,0,0,0.9975,0,0.270107920831816,15
k1,0.798,0,0,0.9975,0,0.26995358274047,15
m3,0.79,0.222222222222222,0.02,0.9825,0.036697247706422,0.267235381338182,15
Aitchison-Aitken,0.8,NaN,0,1,0,0.094087247449826,15
Li-Racin,0.52,0.22,0.55,0.5125,0.314285714285714,0.095806834376651,15
Wang-Ryzin,0.8,NaN,0,1,0,0.100305058123725,15
Ordered Aitchison-Aitken,0.496,0.196,0.49,0.4975,0.28,0.0933141482450894,15
Ordered Li-Racin,0.504,0.204,0.51,0.5025,0.291428571428571,0.101220150046358,15
Linear,0.8,NaN,0,1,0,0.444227673769743,16
RBF,0.8,NaN,0,1,0,0.329617712830039,16
Dirac,0.798,0,0,0.9975,0,0.358669118781285,16
k1,0.798,0,0,0.9975,0,0.371980337305566,16
m3,0.8,0.5,0.09,0.9775,0.152542372881356,0.367292256304775,16
Aitchison-Aitken,0.8,NaN,0,1,0,0.100004991255301,16
Li-Racin,0.524,0.224,0.56,0.515,0.32,0.0898643255019173,16
Wang-Ryzin,0.8,NaN,0,1,0,0.0975266734213863,16
Ordered Aitchison-Aitken,0.492,0.192,0.48,0.495,0.274285714285714,0.113827830732864,16
Ordered Li-Racin,0.508,0.208,0.52,0.505,0.297142857142857,0.104227119869907,16
Linear,0.8,NaN,0,1,0,0.306900623030513,17
RBF,0.8,NaN,0,1,0,0.286962729208823,17
Dirac,0.804,0.75,0.03,0.9975,0.0576923076923077,0.308413449040073,17
k1,0.8,0.5,0.01,0.9975,0.0196078431372549,0.306601660341137,17
m3,0.802,0.555555555555556,0.05,0.99,0.0917431192660551,0.351138376188132,17
Aitchison-Aitken,0.8,NaN,0,1,0,0.108082730319902,17
Li-Racin,0.48,0.18,0.45,0.4875,0.257142857142857,0.103820210999994,17
Wang-Ryzin,0.8,NaN,0,1,0,0.10321217587381,17
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.107669957492017,17
Ordered Li-Racin,0.476,0.176,0.44,0.485,0.251428571428571,0.114126836954522,17
Linear,0.798,0,0,0.9975,0,0.222223002671412,18
RBF,0.8,NaN,0,1,0,0.227519829890716,18
Dirac,0.8,NaN,0,1,0,0.20162277359866,18
k1,0.8,NaN,0,1,0,0.202802136834704,18
m3,0.8,NaN,0,1,0,0.199958603264888,18
Aitchison-Aitken,0.8,NaN,0,1,0,0.0952390426622138,18
Li-Racin,0.512,0.212,0.53,0.5075,0.302857142857143,0.095261845128191,18
Wang-Ryzin,0.8,NaN,0,1,0,0.0959946121244956,18
Ordered Aitchison-Aitken,0.544,0.244,0.61,0.5275,0.348571428571429,0.0838855802465421,18
Ordered Li-Racin,0.516,0.216,0.54,0.51,0.308571428571429,0.092300706612695,18
Linear,0.798,0,0,0.9975,0,0.381344763443261,19
RBF,0.8,NaN,0,1,0,0.388859726220472,19
Dirac,0.8,NaN,0,1,0,0.311213840644718,19
k1,0.8,NaN,0,1,0,0.315587477163501,19
m3,0.794,0.2,0.01,0.99,0.019047619047619,0.314736426880224,19
Aitchison-Aitken,0.508,0.208,0.52,0.505,0.297142857142857,0.0982757400812128,19
Li-Racin,0.496,0.196,0.49,0.4975,0.28,0.100253960064215,19
Wang-Ryzin,0.8,NaN,0,1,0,0.108700835433692,19
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.0979619422907863,19
Ordered Li-Racin,0.484,0.184,0.46,0.49,0.262857142857143,0.110118910531609,19
Linear,0.798,0,0,0.9975,0,0.290441675353483,20
RBF,0.8,NaN,0,1,0,0.284915767221899,20
Dirac,0.8,NaN,0,1,0,0.28359434636518,20
k1,0.8,NaN,0,1,0,0.275926713686596,20
m3,0.8,0.5,0.01,0.9975,0.0196078431372549,0.281765484194414,20
Aitchison-Aitken,0.8,NaN,0,1,0,0.0906371469754713,20
Li-Racin,0.52,0.22,0.55,0.5125,0.314285714285714,0.0896327248091483,20
Wang-Ryzin,0.8,NaN,0,1,0,0.0867640219243124,20
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.0964285583485571,20
Ordered Li-Racin,0.512,0.212,0.53,0.5075,0.302857142857143,0.100324672349951,20
Linear,0.808,1,0.04,1,0.0769230769230769,0.968989333029676,21
RBF,0.8,NaN,0,1,0,0.380660314472609,21
Dirac,0.8,NaN,0,1,0,0.338689773169858,21
k1,0.798,0,0,0.9975,0,0.341390788648188,21
m3,0.802,0.666666666666667,0.02,0.9975,0.0388349514563107,0.369733680822947,21
Aitchison-Aitken,0.8,NaN,0,1,0,0.100369860808134,21
Li-Racin,0.512,0.212,0.53,0.5075,0.302857142857143,0.0995975369931179,21
Wang-Ryzin,0.8,NaN,0,1,0,0.101237657153115,21
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.117713679104719,21
Ordered Li-Racin,0.492,0.192,0.48,0.495,0.274285714285714,0.109313162479644,21
Linear,0.802,1,0.01,1,0.0198019801980198,0.473171840146259,22
RBF,0.8,NaN,0,1,0,0.38554048012266,22
Dirac,0.802,1,0.01,1,0.0198019801980198,0.378092647976901,22
k1,0.804,1,0.02,1,0.0392156862745098,0.394040498352907,22
m3,0.81,0.857142857142857,0.06,0.9975,0.11214953271028,0.362061712928879,22
Aitchison-Aitken,0.8,NaN,0,1,0,0.108570171359437,22
Li-Racin,0.492,0.192,0.48,0.495,0.274285714285714,0.0972775289996894,22
Wang-Ryzin,0.8,NaN,0,1,0,0.10231217216665,22
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.11632750716714,22
Ordered Li-Racin,0.496,0.196,0.49,0.4975,0.28,0.109391280760808,22
Linear,0.8,NaN,0,1,0,0.344737873524641,23
RBF,0.8,NaN,0,1,0,0.313053292257286,23
Dirac,0.8,NaN,0,1,0,0.309223274514617,23
k1,0.8,NaN,0,1,0,0.314987462508533,23
m3,0.8,NaN,0,1,0,0.294534540878702,23
Aitchison-Aitken,0.8,NaN,0,1,0,0.0942438566278115,23
Li-Racin,0.496,0.196,0.49,0.4975,0.28,0.0974640613465569,23
Wang-Ryzin,0.8,NaN,0,1,0,0.099042811640366,23
Ordered Aitchison-Aitken,0.508,0.208,0.52,0.505,0.297142857142857,0.103455596175861,23
Ordered Li-Racin,0.492,0.192,0.48,0.495,0.274285714285714,0.104199814188319,23
Linear,0.798,0,0,0.9975,0,0.279690933750369,24
RBF,0.8,NaN,0,1,0,0.315253196012907,24
Dirac,0.798,0,0,0.9975,0,0.299377817072543,24
k1,0.798,0,0,0.9975,0,0.303047835801808,24
m3,0.796,0.464285714285714,0.13,0.9625,0.203125,0.32351681803648,24
Aitchison-Aitken,0.8,NaN,0,1,0,0.104307444167205,24
Li-Racin,0.492,0.192,0.48,0.495,0.274285714285714,0.103043542423069,24
Wang-Ryzin,0.8,NaN,0,1,0,0.100431628219474,24
Ordered Aitchison-Aitken,0.48,0.18,0.45,0.4875,0.257142857142857,0.115262242862235,24
Ordered Li-Racin,0.488,0.188,0.47,0.4925,0.268571428571429,0.107956907145384,24
Linear,0.8,NaN,0,1,0,0.312521932458223,25
RBF,0.8,NaN,0,1,0,0.284935892777893,25
Dirac,0.804,1,0.02,1,0.0392156862745098,0.32761754110248,25
k1,0.804,0.75,0.03,0.9975,0.0576923076923077,0.330336834384825,25
m3,0.8,0.5,0.12,0.97,0.193548387096774,0.302303684820463,25
Aitchison-Aitken,0.444,0.146825396825397,0.37,0.4625,0.210227272727273,0.110251495617159,25
Li-Racin,0.476,0.176,0.44,0.485,0.251428571428571,0.110423624651344,25
Wang-Ryzin,0.8,NaN,0,1,0,0.111796515135422,25
Ordered Aitchison-Aitken,0.454,0.155378486055777,0.39,0.47,0.222222222222222,0.106694329089849,25
Ordered Li-Racin,0.496,0.196,0.49,0.4975,0.28,0.100773093779884,25
Linear,0.8,NaN,0,1,0,0.550615851432405,26
RBF,0.8,NaN,0,1,0,0.370990675787323,26
Dirac,0.798,0.333333333333333,0.01,0.995,0.0194174757281553,0.344640238493664,26
k1,0.798,0.333333333333333,0.01,0.995,0.0194174757281553,0.340143565712949,26
m3,0.806,0.578947368421053,0.11,0.98,0.184873949579832,0.363754783828636,26
Aitchison-Aitken,0.8,NaN,0,1,0,0.103184175220905,26
Li-Racin,0.508,0.208,0.52,0.505,0.297142857142857,0.0994517608085555,26
Wang-Ryzin,0.8,NaN,0,1,0,0.0974535795507892,26
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.0962328742809997,26
Ordered Li-Racin,0.516,0.216,0.54,0.51,0.308571428571429,0.0913920196633799,26
Linear,0.8,NaN,0,1,0,0.304545003002862,27
RBF,0.8,NaN,0,1,0,0.306716848307773,27
Dirac,0.8,NaN,0,1,0,0.294048140267249,27
k1,0.8,NaN,0,1,0,0.305838494376157,27
m3,0.802,0.6,0.03,0.995,0.0571428571428571,0.306810288793243,27
Aitchison-Aitken,0.508,0.208,0.52,0.505,0.297142857142857,0.0960362485193199,27
Li-Racin,0.492,0.192,0.48,0.495,0.274285714285714,0.0990766182535993,27
Wang-Ryzin,0.8,NaN,0,1,0,0.0953746057988891,27
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.105038082179863,27
Ordered Li-Racin,0.504,0.204,0.51,0.5025,0.291428571428571,0.0975388253058274,27
Linear,0.8,NaN,0,1,0,0.277133792554955,28
RBF,0.8,NaN,0,1,0,0.311938584103712,28
Dirac,0.802,1,0.01,1,0.0198019801980198,0.315081937241494,28
k1,0.804,1,0.02,1,0.0392156862745098,0.320429813538931,28
m3,0.806,1,0.03,1,0.058252427184466,0.325877831368199,28
Aitchison-Aitken,0.8,NaN,0,1,0,0.0976439767583441,28
Li-Racin,0.508,0.208,0.52,0.505,0.297142857142857,0.0966244344621693,28
Wang-Ryzin,0.8,NaN,0,1,0,0.105422052111558,28
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.117588787229495,28
Ordered Li-Racin,0.484,0.184,0.46,0.49,0.262857142857143,0.108575752780325,28
Linear,0.802,1,0.01,1,0.0198019801980198,0.377987921960582,29
RBF,0.802,1,0.01,1,0.0198019801980198,0.303975556778247,29
Dirac,0.802,1,0.01,1,0.0198019801980198,0.279707396767001,29
k1,0.802,1,0.01,1,0.0198019801980198,0.270019905506126,29
m3,0.798,0.333333333333333,0.01,0.995,0.0194174757281553,0.276810525864886,29
Aitchison-Aitken,0.8,NaN,0,1,0,0.0955320863225022,29
Li-Racin,0.488,0.188,0.47,0.4925,0.268571428571429,0.109745240706778,29
Wang-Ryzin,0.8,NaN,0,1,0,0.102490664379626,29
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.106677566332282,29
Ordered Li-Racin,0.496,0.196,0.49,0.4975,0.28,0.10260894342776,29
Linear,0.798,0,0,0.9975,0,0.253085846113764,30
RBF,0.8,NaN,0,1,0,0.279103058076419,30
Dirac,0.8,NaN,0,1,0,0.259615926587281,30
k1,0.8,NaN,0,1,0,0.262472895569853,30
m3,0.784,0.1,0.01,0.9775,0.0181818181818182,0.262464089435844,30
Aitchison-Aitken,0.498,0.199203187250996,0.5,0.4975,0.284900284900285,0.098879591061132,30
Li-Racin,0.52,0.22,0.55,0.5125,0.314285714285714,0.0966394942790419,30
Wang-Ryzin,0.8,NaN,0,1,0,0.0956706876687338,30
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.0910914435447439,30
Ordered Li-Racin,0.52,0.22,0.55,0.5125,0.314285714285714,0.0944797748367949,30
Linear,0.806,1,0.03,1,0.058252427184466,0.389758397367991,31
RBF,0.8,NaN,0,1,0,0.335156790917841,31
Dirac,0.802,1,0.01,1,0.0198019801980198,0.328392277050278,31
k1,0.806,1,0.03,1,0.058252427184466,0.328741823830558,31
m3,0.804,0.583333333333333,0.07,0.9875,0.125,0.317106391345664,31
Aitchison-Aitken,0.508,0.208,0.52,0.505,0.297142857142857,0.0949417047956264,31
Li-Racin,0.512,0.212,0.53,0.5075,0.302857142857143,0.0953358711473458,31
Wang-Ryzin,0.8,NaN,0,1,0,0.103901650931732,31
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.104398604601728,31
Ordered Li-Racin,0.472,0.172,0.43,0.4825,0.245714285714286,0.112627528933198,31
Linear,0.8,NaN,0,1,0,0.375597145004302,32
RBF,0.8,NaN,0,1,0,0.329531323774237,32
Dirac,0.8,0.5,0.01,0.9975,0.0196078431372549,0.263788448421047,32
k1,0.8,0.5,0.01,0.9975,0.0196078431372549,0.263333641291054,32
m3,0.8,0.5,0.03,0.9925,0.0566037735849057,0.253659444278072,32
Aitchison-Aitken,0.512,0.212,0.53,0.5075,0.302857142857143,0.0931752741357346,32
Li-Racin,0.504,0.204,0.51,0.5025,0.291428571428571,0.0945343855337781,32
Wang-Ryzin,0.8,NaN,0,1,0,0.0987861042434513,32
Ordered Aitchison-Aitken,0.52,0.22,0.55,0.5125,0.314285714285714,0.100095157896352,32
Ordered Li-Racin,0.508,0.208,0.52,0.505,0.297142857142857,0.104796091085213,32
Linear,0.8,NaN,0,1,0,0.345573179000483,33
RBF,0.8,NaN,0,1,0,0.31150452661267,33
Dirac,0.8,NaN,0,1,0,0.267068911642617,33
k1,0.798,0.333333333333333,0.01,0.995,0.0194174757281553,0.263983055609371,33
m3,0.792,0.166666666666667,0.01,0.9875,0.0188679245283019,0.271139751664661,33
Aitchison-Aitken,0.484,0.184,0.46,0.49,0.262857142857143,0.103960052937335,33
Li-Racin,0.468,0.168,0.42,0.48,0.24,0.105450324826932,33
Wang-Ryzin,0.8,NaN,0,1,0,0.104728386058112,33
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.0954688610229509,33
Ordered Li-Racin,0.476,0.176,0.44,0.485,0.251428571428571,0.114169760147014,33
Linear,0.802,1,0.01,1,0.0198019801980198,0.32758907116718,34
RBF,0.8,NaN,0,1,0,0.333737184058437,34
Dirac,0.8,NaN,0,1,0,0.327539176249606,34
k1,0.8,NaN,0,1,0,0.326564175531255,34
m3,0.79,0.142857142857143,0.01,0.985,0.0186915887850467,0.311747344093696,34
Aitchison-Aitken,0.504,0.204,0.51,0.5025,0.291428571428571,0.0952351528923845,34
Li-Racin,0.5,0.2,0.5,0.5,0.285714285714286,0.0964580572475057,34
Wang-Ryzin,0.8,NaN,0,1,0,0.100266702941351,34
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.0926281072621188,34
Ordered Li-Racin,0.504,0.204,0.51,0.5025,0.291428571428571,0.102731363090929,34
