kernel,solution,accuracy,precision,sensitivity,specificity,f1Score,aucpr
AutoRbfKernel,,0.729,0,0,0.91125,0,0.163829706242784
ScaledAutoRbfKernel,,0.8,NaN,0,1,0,0.111723549514432
AutoSphereRbfKernel,,0.895,0.709251101321586,0.805,0.9175,0.754098360655738,0.55532939305428
ScaledAutoSphereRbfKernel,,0.8,NaN,0,1,0,0.11183771297469
