iteration,name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
1,kMRCD,0.941666666666667,0.837837837837838,0.516666666666667,0.988888888888889,0.639175257731959,0.731377480606286
2,kMRCD,0.951666666666667,0.816326530612245,0.666666666666667,0.983333333333333,0.73394495412844,0.807708787033985
3,kMRCD,0.95,0.840909090909091,0.616666666666667,0.987037037037037,0.711538461538462,0.747452038726139
4,kMRCD,0.913333333333333,0.642857142857143,0.3,0.981481481481482,0.409090909090909,0.540780562166547
5,kMRCD,0.946666666666667,0.759259259259259,0.683333333333333,0.975925925925926,0.719298245614035,0.767650443941686
6,kMRCD,0.928333333333333,0.688888888888889,0.516666666666667,0.974074074074074,0.59047619047619,0.578638914486239
7,kMRCD,0.925,0.714285714285714,0.416666666666667,0.981481481481482,0.526315789473684,0.615170038534116
8,kMRCD,0.945,0.775510204081633,0.633333333333333,0.97962962962963,0.697247706422018,0.733709931177251
9,kMRCD,0.926666666666667,0.785714285714286,0.366666666666667,0.988888888888889,0.5,0.663353788171012
10,kMRCD,0.928333333333333,0.757575757575758,0.416666666666667,0.985185185185185,0.537634408602151,0.720460029352591
11,kMRCD,0.95,0.777777777777778,0.7,0.977777777777778,0.736842105263158,0.707573601656541
12,kMRCD,0.948333333333333,0.784313725490196,0.666666666666667,0.97962962962963,0.720720720720721,0.712480138510158
13,kMRCD,0.933333333333333,0.727272727272727,0.533333333333333,0.977777777777778,0.615384615384615,0.666847396417559
14,kMRCD,0.931666666666667,0.743589743589744,0.483333333333333,0.981481481481482,0.585858585858586,0.662909687918407
15,kMRCD,0.936666666666667,0.67741935483871,0.7,0.962962962962963,0.688524590163934,0.684468228068235
16,kMRCD,0.94,0.785714285714286,0.55,0.983333333333333,0.647058823529412,0.77047619054604
17,kMRCD,0.945,0.813953488372093,0.583333333333333,0.985185185185185,0.679611650485437,0.789789536744893
18,kMRCD,0.948333333333333,0.837209302325581,0.6,0.987037037037037,0.699029126213592,0.763403276820633
19,kMRCD,0.935,0.769230769230769,0.5,0.983333333333333,0.606060606060606,0.698261405219441
20,kMRCD,0.933333333333333,0.75,0.5,0.981481481481482,0.6,0.734784455365528
21,kMRCD,0.946666666666667,0.833333333333333,0.583333333333333,0.987037037037037,0.686274509803922,0.766119163267207
22,kMRCD,0.96,0.790322580645161,0.816666666666667,0.975925925925926,0.80327868852459,0.798293944625287
23,kMRCD,0.945,0.8,0.6,0.983333333333333,0.685714285714286,0.735250173669688
24,kMRCD,0.926666666666667,0.766666666666667,0.383333333333333,0.987037037037037,0.511111111111111,0.702024025643726
25,kMRCD,0.945,0.829268292682927,0.566666666666667,0.987037037037037,0.673267326732673,0.75293595767106
26,kMRCD,0.936666666666667,0.696428571428571,0.65,0.968518518518519,0.672413793103448,0.762680724195613
27,kMRCD,0.93,0.8,0.4,0.988888888888889,0.533333333333333,0.66900695490186
28,kMRCD,0.941666666666667,0.790697674418605,0.566666666666667,0.983333333333333,0.660194174757282,0.758775659242338
29,kMRCD,0.941666666666667,0.878787878787879,0.483333333333333,0.992592592592593,0.623655913978495,0.781829911491125
30,kMRCD,0.936666666666667,0.696428571428571,0.65,0.968518518518519,0.672413793103448,0.714836957157265
31,kMRCD,0.925,0.666666666666667,0.5,0.972222222222222,0.571428571428571,0.648684636418626
32,kMRCD,0.938333333333333,0.73469387755102,0.6,0.975925925925926,0.660550458715596,0.758172109614404
33,kMRCD,0.925,0.727272727272727,0.4,0.983333333333333,0.516129032258065,0.656257545968624
34,kMRCD,0.948333333333333,0.795918367346939,0.65,0.981481481481482,0.715596330275229,0.769524022309769
35,kMRCD,0.935,0.783783783783784,0.483333333333333,0.985185185185185,0.597938144329897,0.714227991382227
36,kMRCD,0.926666666666667,0.766666666666667,0.383333333333333,0.987037037037037,0.511111111111111,0.663019458968538
37,kMRCD,0.941666666666667,0.804878048780488,0.55,0.985185185185185,0.653465346534653,0.718718971257142
38,kMRCD,0.935,0.818181818181818,0.45,0.988888888888889,0.580645161290323,0.699611683771997
39,kMRCD,0.951666666666667,0.781818181818182,0.716666666666667,0.977777777777778,0.747826086956522,0.78840629741531
40,kMRCD,0.953333333333333,0.82,0.683333333333333,0.983333333333333,0.745454545454545,0.819850070993543
41,kMRCD,0.921666666666667,0.666666666666667,0.433333333333333,0.975925925925926,0.525252525252525,0.633105478960576
42,kMRCD,0.94,0.760869565217391,0.583333333333333,0.97962962962963,0.660377358490566,0.746490422469281
43,kMRCD,0.943333333333333,0.795454545454545,0.583333333333333,0.983333333333333,0.673076923076923,0.71566696415261
44,kMRCD,0.951666666666667,0.829787234042553,0.65,0.985185185185185,0.728971962616822,0.751263497417856
45,kMRCD,0.928333333333333,0.72972972972973,0.45,0.981481481481482,0.556701030927835,0.626463010242847
46,kMRCD,0.936666666666667,0.671875,0.716666666666667,0.961111111111111,0.693548387096774,0.704091235577826
47,kMRCD,0.95,0.857142857142857,0.6,0.988888888888889,0.705882352941177,0.807697102326235
48,kMRCD,0.953333333333333,0.847826086956522,0.65,0.987037037037037,0.735849056603774,0.818699180268124
49,kMRCD,0.946666666666667,0.791666666666667,0.633333333333333,0.981481481481482,0.703703703703704,0.776551726124146
50,kMRCD,0.933333333333333,0.717391304347826,0.55,0.975925925925926,0.622641509433962,0.68500748927757
51,kMRCD,0.921666666666667,0.658536585365854,0.45,0.974074074074074,0.534653465346535,0.62791647999521
52,kMRCD,0.93,0.78125,0.416666666666667,0.987037037037037,0.543478260869565,0.684600561376254
