accuracy,precision,sensitivity,specificity,f1Score,aucpr
0.62,0.2,0.3,0.7,0.24,0.178744874969991
0.594,0.156666666666667,0.235,0.68375,0.188,0.165559050930683
0.603,0.17056856187291,0.255,0.69,0.204408817635271,0.186530250459478
0.606,0.176666666666667,0.265,0.69125,0.212,0.181347531031477
0.604,0.173333333333333,0.26,0.69,0.208,0.177525241309354
