accuracy,precision,sensitivity,specificity,f1Score,aucpr
0.646,0.239864864864865,0.355,0.71875,0.286290322580645,0.243891461466835
0.594,0.156666666666667,0.235,0.68375,0.188,0.18867723763518
0.638,0.224489795918367,0.33,0.715,0.267206477732794,0.217285887665329
0.638,0.23,0.345,0.71125,0.276,0.22816233970196
0.652,0.253333333333333,0.38,0.72,0.304,0.239216959279895
